Time [s],Relative Position [mm]
0.00,0.39
0.10,0.35
0.20,0.02
0.30,-0.31
0.40,-0.45
0.50,-0.46
0.60,0.71
0.70,1.34
0.80,1.6
0.90,1.45
1.00,1.44
1.10,1.3
1.20,1.03
1.30,0.88
1.40,0.73
1.50,1.29
1.60,1.93
1.70,1.94
1.80,1.72
1.90,1.61
2.00,1.35
2.10,0.99
2.20,0.57
2.30,0.31
2.40,0.13
2.50,1.32
2.60,1.63
2.70,1.46
2.80,1.2
2.90,0.99
3.00,0.54
3.10,0.06
3.20,-0.28
3.30,-0.51
3.40,0.29
3.50,1.07
3.60,1.24
3.70,0.88
3.80,0.7
3.90,0.33
4.00,-0.3
4.10,-0.63
4.20,-0.82
4.30,-0.45
4.40,0.69
4.50,0.9
4.60,0.58
4.70,0.44
4.80,0.08
4.90,-0.45
5.00,-0.83
5.10,-1
5.20,-1.03
5.30,0.27
5.40,0.68
5.50,0.56
5.60,0.38
5.70,0.31
5.80,0.01
5.90,-0.34
6.00,-0.5
6.10,-0.57
6.20,0.61
6.30,1.26
6.40,1.54
6.50,1.39
6.60,1.38
6.70,1.23
6.80,0.95
6.90,0.74
7.00,0.5
7.10,0.93
7.20,1.78
7.30,1.84
7.40,1.55
7.50,1.44
7.60,1.16
7.70,0.78
7.80,0.33
7.90,0.03
8.00,-0.22
8.10,0.91
8.20,1.47
8.30,1.36
8.40,1.04
8.50,0.82
8.60,0.38
8.70,-0.13
8.80,-0.49
8.90,-0.71
9.00,-0.11
9.10,0.83
9.20,1.05
9.30,0.72
9.40,0.53
9.50,0.14
9.60,-0.36
9.70,-0.76
9.80,-0.95
9.90,-0.9